year,Africa,South-East Asia,Eastern Mediterranean,Western Pacific,Americas,Europe
2000,682000,46000,17000,7200,2100,0
2001,705000,41000,17000,6100,1900,0
2002,726000,37000,18000,5400,1300,0
2003,740000,36000,17000,6000,1400,0
2004,748000,38000,15000,6700,1500,0
2005,740000,38000,16000,5000,1700,0
2006,727000,32000,15000,5300,1500,0
2007,701000,33000,16000,4500,1200,0
2008,654000,37000,15000,4000,1000,0
2009,630000,39000,15000,4400,1200,0
2010,596300,43000,15300,4000,1100,0
