ISO,gdppercapita1950,gdppercapita1960,gdppercapita1970,gdppercapita1980,gdppercapita1990,gdppercapita2000,gdppercapita2011
LCA,no data,no data,3800.87,6566.73,6144.58,7412.02,9197.71
LKA,2371.39,2364.53,2560.14,1622.7,2568.63,3177.73,4701.08
LSO,no data,396.15,536.82,790.32,862.5,1020.21,1487.82
LTU,no data,no data,no data,no data,11572.69,10285.55,17200.3
LUX,10303.48,16604.87,22242.02,26438.77,37589.3,62051.14,78130.59
LVA,no data,no data,no data,no data,13018.3,9349.8,16005.82
MAC,no data,no data,5327,11587.59,19835.11,22923.67,69471.51
MAR,1182.47,1249.49,1914.6,2363.5,3433.36,3278.18,3647.45
MDA,no data,no data,no data,no data,4729.7,1694.74,3392.57
MDG,no data,1149.27,1327.29,989.46,925.37,832.23,759.41
MDV,no data,no data,1108.23,2048.9,3653.96,6192.63,10343.66
MEX,3900.26,5053.83,6929.52,10645.05,9102.5,10943.51,12709.82
MKD,no data,no data,no data,no data,4999.74,5613.44,8239.94
MLI,no data,449.56,452.41,465.92,635.39,780.14,941.06
MLT,no data,3623.32,6220.1,8530.15,11487.74,20636.45,23993.08
MNE,no data,no data,no data,no data,10382.47,7990.46,11016.62
MNG,no data,no data,958.07,1356.97,2671.64,2014.09,5219.47
MOZ,no data,322.73,408.34,469.3,336.14,422.94,817.7
MRT,no data,751.16,1665.12,1592.7,1339.9,1379.85,2615.75
MUS,4126.28,3178.01,3806.06,4758.61,8193.55,10486.4,9645.06
MWI,no data,604.29,774.91,767.27,675.43,588.36,802.26
MYS,no data,2251.8,2743.98,5700.21,6250.8,9865.93,13468.81
NAM,no data,2982.43,4142.39,4919.6,3720.2,3743.86,5146.14
NER,no data,995.41,1030.42,1022.16,609.29,514.08,522.56
NGA,1057.1,1573.06,1716.31,1857.26,407.44,416.8,2338.89
NLD,6447.15,9614.93,14861.05,19658.02,22013.75,33796.44,38054.85
NOR,7809.05,10125.98,14899.9,21732.17,23363.51,38911.71,52414.59
