ISO,gdppercapita1500,gdppercapita1600,gdppercapita1700,gdppercapita1750,gdppercapita1800,gdppercapita1820,gdppercapita1850,gdppercapita1870,gdppercapita1900,gdppercapita1913,gdppercapita1929,gdppercapita1938,gdppercapita1950,gdppercapita1960,gdppercapita1970,gdppercapita1980,gdppercapita1990,gdppercapita2000,gdppercapita2008,gdppercapita2010
HUN,,,,,,,,1092,1682,2098,2476,2655,2480,3649,5028,6306,6458.81,6771.78,8825.76,8352.68
IND,,793,729,670,,,,533,599,673,728,668,619,753,868,938,1308.82,1882.38,2951.61,3371.6
IRL,,,,,,877,,1775,,2736,2824,3052,3453,4282,6199,8541,11817.7,21026.8,24324.3,22013.1
IRN,,,,,,588,,719,,1000,,,1720,2156,4189,3974,3526.09,4301.12,6013,6455.87
IRQ,,,,,,588,,719,,1000,,,1364,2735,3473,6377,2458.44,1221.39,1597.5,1609.75
ISR,,,,,,,,,,,,,2817,4663,8101,10984,13066.9,16985,18749,19170.8
ITA,1532.85,1363.02,1476.24,1532.85,1363.02,1511.08,1480.6,1541.75,1854.69,2304.79,2777.99,2830.12,3171.7,5456.19,9366.6,12927,16313.1,18761.4,19460.5,18520.4
JAM,,,,,,700.748,543.86,530.486,580.957,610.728,699.885,972.485,1326.78,2653.54,3848.67,3121.41,3786.33,3657.45,3833.37,3617.03
JOR,,,,,,590,,718,,1000,,,1663,2330,2395,4480,3792.4,4188.62,5466.9,5646.67
JPN,,574,629,598,641,,681,737,1180,1387,2026,2449,1921,3986,9714,13428,18789.1,20481,22175.1,21934.9
KAZ,,,,,,,,,,,,,,,,,7457.86,5536.55,10638.8,11258.2
KEN,,,,,,,,,,,,,651,726,915,1051,1117.26,1013.35,1112.58,1140.75
KGZ,,,,,,,,,,,,,,,,,3602.29,2178.56,2965.26,2947.24
KHM,,,,,,,,,,,,,482,671,647,828,881.26,1328.57,2392.22,2449.89
KOR,,,,,,335.029,,337.273,,485.452,624.006,903.77,853.89,1226.39,2167.33,4114.1,8704.42,14997.5,20453.8,21700.9
KWT,,,,,,,,,,,,,28878,28813,30695,13271,6120.89,9516.77,13657.8,12348.2
LBN,,,,,,657,,845,,1350,,,2429,2393,2917,3524,1936.39,3402.66,4452.73,
LBR,,,,,,,,,,,,,1055,1230,1492,1162,1060.34,989.656,801.599,
LBY,,,,,,,,,,,,,857,1830,9115,7272,3087.09,2312.99,2993.56,
LKA,,,,,,550,564,851,1290,1234,1336,1225,1253,1295,1499,1830,2423.77,3578.79,4882.22,5360.16
LSO,,,,,,,,,,,,,355,458,604,1005,1181.11,1468.93,1951.9,
LTU,,,,,,,,,,,,,,,,,8663.43,6972.58,12666.7,11003.9
LVA,,,,,,,,,,,,,,,,,9916.32,7741.54,14332.6,11897.6
MAR,,,,,,430,,563,,710,,,1455,1329,1616,2272,2590.76,2793.85,3782.26,4026.89
MDA,,,,,,,,,,,,,,,,,,,,
MDG,,,,,,,,,,,,,951,1125,1226,1054,791.722,694.18,741.517,675.658
MEX,,,,,836.142,626.83,655.624,650.753,1318.65,1731.53,1757.21,1794.27,2365.02,3155.2,4319.65,6320.39,6084.91,7274.99,7977.51,7715.67
MKD,,,,,,,,,,,,,,2385.39,4352.79,6583.76,5754.65,4988.12,6055.14,6141
MLI,,,,,,,,,,,,,457,534,586,733,747.097,824.305,1017.91,1058.51
MMR,,,,,,504,,504,,685,,740,396,564,642,828,785.72,1337.13,3106.55,3708.94
MNE,,,,,,,,,,,,,,1529.58,3047.12,5013.79,4143.78,4298.82,7408.19,7324.41
MNG,,,,,,,,,,,,,435,586,787,1058,1332.11,1059.03,1001.31,
MOZ,,,,,,,,,,,,,1133,1327,1743,1220,1113.56,1503.02,2399.49,2613.03
MRT,,,,,,,,,,,,,464,625,1059,1009,948.063,1084.82,1299.21,
MUS,,,,,,,,,,,,,2490,2777,2945,4367,7208,10593.4,14529.2,
MWI,,,,,,,,,,,,,324,394,447,630,539.625,608.799,662.247,728.238
MYS,,,,,,603,,663,,900,1682,1361,1559,1530,2079,3657,5130.61,7873.52,9880.32,10094.5
NAM,,,,,,,,,,,,,2160,2616,3321,3767,3140.96,3660.53,4570.85,
NER,,,,,,,,,,,,,617,761,839,810,546.946,441.227,520.716,519.462
NGA,,,,,,,,,,,,,753,820,1094,1305,1112.37,1041.39,1710.98,1876.11
NIC,,,,,,,,,,,1750,1076,1616,1983,2812,2154,1437,1520,1674,
NLD,1454,2662,2105,2355,2609,1874,2355,2755,3329,4049,5689,5250,5996,8287,11967,14705,17262.1,22148.2,25112.3,24302.6
NOR,,,,,,801,956,1360,1877,2447,3387,4262,5430,7204,10027,15076,18466,25087.6,28464.3,27987.2
NPL,,,,,,397,,397,,539,,,496,607,653,652,825.076,994.473,1133.88,
NZL,,,,,,,1144,3100,4298,5152,5262,6462,8456,9465,11189,12347,13687.5,16518.1,18875.4,18886.2
OMN,,,,,,,,,,,,,623,935,3799,4072,6478.96,7414.71,9362.35,9819.04
PAK,,,,,,,,,,,,,643,647,952,1161,1588.16,1904.11,2457.32,2493.54
PAN,,,,,,,,,,,,,1916,2391,3814,5082,4466,5655,6675,
PER,,,,,,,,839.795,680.322,1032.36,1907.52,1924.96,2307.63,2969.09,3854.22,4262.83,3008.29,3736.82,5375.59,5773.6
PHL,,,,,,584,,624,,988,1413,1440,1070,1476,1764,2376,2197.42,2335.62,2888.33,3023.66
POL,,,,,,,,946,1536,1739,2117,2182,2447,3215,4428,5740,5113.41,7308.84,10185.6,10762.5
PRI,,,,,,,,,,,,,2144,3421,6349,8183,10539.4,14112.7,15074.2,
PRT,,1164,975,1248,1024,923,923,975,1302,1250,1610,1747,2086,2956,5473,8044,10826.4,13922.2,14583.5,14279
PRY,,,,,,,,,,,,,1584,1555,1872,3301,3281,3011,3295,
PSE,,,,,,,,751,,1250,,,960,1393,1865,2528,3352.83,5129.56,2178.12,
QAT,,,,,,,,,,,,,30387,32810,32573,28771,7343.15,9724.12,11347,12228.6
ROU,,,,,,,,931,1415,1741,1152,1242,1182,1844,2853,4135,3510.77,3046.96,5040.33,4652.64
RWA,,,,,,,,,,,,,547,656,717,952,877.286,742.431,1020.02,
SAU,,,,,,,,,,,,,2231,3719,7624,13217,8993.22,8861.16,10011.9,10201.1
SEN,,,,,,,,,,,,,1259,1445,1435,1268,1253.9,1318.1,1493.67,1506.86
SGP,,,,,,,,682,1578,1611,2752,2439,2615,2310,4439,9058,14220.1,21263.3,26638.2,29037.6
SLE,,,,,,,,,,,,,656,856,1129,1116,1025.69,409.294,686.442,
SLV,,,,,,,,,,,1041,977,1489,1764,2187,2354,2119,2714,2940,
SOM,,,,,,,,,,,,,1057,1277,1138,1036,1080.54,847.581,978.065,
STP,,,,,,,,,,,,,820,867,1440,2009,1390.74,1225.4,1484.15,
SVK,,,,,,,,,,,,,,,,,7763.05,8187.73,13037.1,12877.4
SVN,,,,,,,,,,,,,,4276.14,7641.21,12623.2,11350.6,13667.3,18745.1,17529.4
SWE,,761.411,1339.92,972.508,856.641,887.673,1076.13,1345.06,2083.03,2874.08,4062.73,4900.87,6739.23,8687.5,12716.3,14936.6,17608.9,20871.2,25181.2,25306.4
SWZ,,,,,,,,,,,,,721,935,2036,2397,2434.95,2630.32,3150.21,
SYC,,,,,,,,,,,,,1912,2367,2570,4444,5169.49,6367.01,6108.9,
SYR,,,,,,658,,844,,1350,,,2409,3023,3540,6508,5700.68,6906.27,7555.63,7951.96
TCD,,,,,,,,,,,,,476,569,513,341,434.313,448.967,705.742,
TGO,,,,,,,,,,,,,574,698,1075,1097,800.328,614.222,605.598,
THA,,,,,,570,,608,,841,793,826,817,1078,1694,2554,4633.1,6440.15,8922.89,9372.21
TJK,,,,,,,,,,,,,,,,,3012.9,918.257,1555.82,1660.78
TKM,,,,,,,,,,,,,,,,,3635.87,2387.93,3913.18,4431.92
TTO,,,,,,,,,,,,,3674,6251,8244,12380,8852.59,12219.6,21314.4,
TUN,,,,,,430,,633,,883,,,1115,1343,1827,2944,3335.4,4563.55,6116.97,6374.39
TUR,660,,700,,,740,,825,,1213,1213,1724,1623,2247,3078,4022,5399.42,6502,8126.94,8224.86
TZA,,,,,,,,,,,,,424,459,568,601,549.371,547.172,747.477,803.852
UGA,,,,,,,,,,,,,687,713,867,572,584.678,771.398,1086.71,1158.38
UKR,,,,,,,,,,,,,,,,,6026.7,2742.29,5027.62,4524.21
URY,,,,,1085.81,1164.53,1467.59,2180.76,2218.58,3310.11,3847.48,3676.23,4659.4,4960.16,5184.05,6554.61,6464.63,8340.86,10405.4,11526.3
USA,,,,,1296,1361,1849,2445,4091,5301,6899,6126,9561,11328,15030,18577,23200.6,28701.9,31251.3,30491.3
UZB,,,,,,,,,,,,,,,,,4260.5,3434.39,5236.52,6027.07
VEN,,,,,415.337,374.774,729.497,570.431,821.18,1103.83,3426.48,4144.37,7461.96,9645.89,10671.8,10139.2,8312.87,8409.04,10672.1,9874.36
VNM,,,,,,527,,505,,727,,,658,799,735,757,1024.91,1805.43,2925.95,3216.81
ZAF,,,1703,1692,,745,654,807,937,,1497,1956,2535,3041,4045,4390,3833.77,3920.42,5048.09,5080.12
ZMB,,,,,,,,,,,,,661,960,1073,911,806.247,601.644,734.22,795.369
ZWE,,,,,,,,,,,,,701,938,1282,1295,1355.45,1231,660.735,749.798
RUS,,,,,,,,,,,,,,,,,7778.72,5260.96,9038.49,8660.22
SRB,,,,,,,,,,,,,,2361.28,3923.82,6459.35,6118.58,4743.58,7421.08,7337.16
TWN,,,,,,606.424,,606.542,,807.044,1249.45,1440.2,915.773,1353.19,2537.02,5259.89,9938.38,16627.6,21554.1,23291.9
