decade,victims
1860s,4561043
1870s,21001000
1880s,2900000
1890s,18137500
1900s,42500
1910s,155000
1920s,16000000
1930s,7500000
1940s,9860000
1950s,15998500
1960s,16802500
1970s,3851000
1980s,1425000
1990s,3620000
