year,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010
15,85.734,91.745,80.482,67.825,61.03,52.743,51.577,53.279,59.612,51.33,43.201,39.669
20,218.914,255.201,235.204,174.75,131.662,111.832,109.621,110.159,112.507,108.346,104.131,101.154
25,179.634,196.968,187.649,145.662,120.366,109.328,109.834,113.723,114.734,110.347,115.113,115.057
30,110.583,116.181,107.771,79.07,59.9,56.885,64.309,73.67,80.157,85.09,93.883,98.655
35,54.838,58.137,52.555,37.609,24.27,19.245,21.486,27.268,32.695,36.608,43.038,46.892
40,15.285,15.705,14.65,10.254,5.977,4.1,3.851,4.603,5.967,7.212,8.544,9.726
45,1.012,0.963,0.869,0.65,0.355,0.227,0.202,0.218,0.268,0.367,0.49,0.647
