decade,victims
1860s,4561043
1870s,21001000
1880s,2900000
1890s,18137500
1900s,53500
1910s,240000
1920s,16024000
1930s,7500000
1940s,9910000
1950s,15998500
1960s,18311150
1970s,3851082
1980s,1432268
1990s,3623134
2000s,1138
