ISO,energy1960,energy1971,energy1981,energy1990,energy2000,energy2011
MNA,,325.84,628.88,824.79,1026.96,1375.83
MNE,,,,,,1899.76
MNG,,,,1560.47,999.63,1309.78
MNP,,,,,,
MOZ,,713.47,526.87,436.47,392.47,415.03
MRT,,,,,,
MUS,,,,453.24,,
MWI,,,,,,
MYS,,544.89,898.17,1183.29,2011.46,2639.43
NAC,5516.35,7539.35,7636.09,7654.85,8068.14,7062.22
NAM,,,,,515.37,716.6
NCL,,,,,,
NER,,,,,,
NGA,,627.82,724.45,738.17,737.29,720.64
NIC,,494.88,473.87,488.91,494.42,514.5
NLD,1825.74,3855.31,4269.41,4393.2,4597.83,4637.77
NOC,,,,5046.03,4251.87,5382.03
NOR,1906.17,3407.06,4406.45,4951.71,5809.81,5680.65
NPL,,309.81,315.28,319.65,349.71,382.64
NZL,1731.61,2422.68,2849.99,3864.64,4421.4,4124.04
OEC,2764.79,4125.63,4405.08,4711.51,5152.94,4754.97
OED,2669.47,3754.18,4001.1,4238.4,4576.47,4243.94
OMN,,302.68,802.97,2330.31,3686.57,8356.29
OSS,,,,,,
PAK,,280.04,320.77,385.79,445.43,481.62
PAN,,1054.82,739.98,599.52,840.97,1085.01
PER,,672.71,637.58,447.1,470.06,695
PHL,,415.53,462.39,461.93,513.46,425.57
PLW,,,,4868.62,,
PNG,,,,,,
POL,1827.98,2627.07,3245.31,2705.39,2317.48,2629.17
PRI,,,,,,
PRK,,1310.63,1769.11,1645.11,863.25,772.89
PRT,336.91,726.05,1006.49,1676.74,2397.78,2186.51
PRY,,537.34,632.02,722.89,719.64,739.01
PSS,,,,334.16,,
PYF,,,,,,
QAT,,7763.99,16714.04,13696.22,18319.97,17418.69
ROU,,2058.86,2888.8,2683.15,1614.21,1778.4
RUS,,,,5928.79,4232.75,5113.11
RWA,,,,,,
SAS,,258.95,285.47,341.64,408.81,554.62
SAU,,1214.3,4035.23,3687.47,5029.88,6738.42
SDN,,491.37,426.89,412.42,387.99,355.08
SEN,,285.55,270.78,224.43,243.15,263.65
SGP,,1292.18,2124.71,3779.06,4640.75,6452.33
SLB,,,,170.95,,
SLE,,,,,,
SLV,,456.68,574.87,461.94,665.91,690.3
SMR,,,,,,
SOM,,,,,,
SRB,,,,2598.79,1826.36,2229.78
SSA,,672.38,717.5,697.52,671.3,680.55
SSD,,,,,,
SSF,,672.38,717.5,697.52,671.3,680.55
SST,,,,956.4,,
STP,,,,199.8,,
SUR,,,,1366.9,,
SVK,,3128.6,3874.34,4024.67,3292.63,3213.67
SVN,,,,2857.56,3224.38,3531.06
SWE,2698.79,4450.38,5097.15,5514.55,5360.15,5190.34
SWZ,,,,357.93,,
SXM,,,,,,
SYC,,,,537,,
SYR,,360.36,574.7,840.48,962.96,910.05
TCA,,,,,,
TCD,,,,,,
TGO,,332.51,322.14,333.52,433.88,427.05
THA,,360.63,460.26,741.29,1159.46,1789.64
TJK,,,,1001.98,347.33,306.49
TKM,,,,4775.77,3303.61,4838.8
TLS,,,,,,
TON,,,,266.33,,
TTO,,2757.83,3686.27,4899.99,8560.31,15691.29
TUN,,317.9,514.37,606.56,763.94,890.38
TUR,387.97,548.86,705.63,977.06,1208.53,1539.29
TUV,,,,,,
TZA,,539.46,421.59,381.91,393.58,447.57
UGA,,,,,,
UKR,,,,4855.88,2720.72,2766.32
UMC,,611.12,811.6,1021.39,1111.34,1893.05
URY,,857.5,868,723.86,931.06,1309.16
USA,5641.73,7644.53,7647.54,7671.55,8056.82,7032.35
UZB,,,,2260.77,2059.07,1627.67
VCT,,,,273.78,,
VEN,,1763.64,2420.82,2206.32,2311.73,2379.53
VIR,,,,,,
VNM,,302.4,266.33,270.63,370.16,696.83
VUT,,,,159,,
PSE,,,,,,
WLD,,1336.53,1413.84,1665.11,1649.84,1889.65
WSM,,,,265.47,,
YEM,,118.71,152.54,213.18,270.9,311.55
ZAF,,2009.92,2545.5,2583.98,2483.26,2740.85
COD,,324.8,328.18,337.96,355.25,383.17
ZMB,,808.12,756.04,688.28,618.16,620.66
ZWE,,1010.03,869.57,888.69,788.94,697.08
